        151                3_GR             X  3530806.828 Y   5328778.763 Z   593.442
        152                3_GR             X  3530807.145 Y   5328778.294 Z   593.428
        153                3_GR             X  3530807.472 Y   5328777.907 Z   593.415
        154                3_GR             X  3530807.779 Y   5328777.500 Z   593.430
        155                3_GR             X  3530808.055 Y   5328777.120 Z   593.454
        156                3_GR             X  3530807.787 Y   5328776.894 Z   593.469
        157                3_GR             X  3530807.533 Y   5328776.722 Z   593.462
        158              3_GR_@             X  3530807.532 Y   5328776.721 Z   593.462
        159         3_KN_FZ_564             X  3530806.671 Y   5328778.973 Z   593.465
        160         3_KN_FZ_533             X  3530806.925 Y   5328778.103 Z   593.411
        161         3_KN_FZ_534             X  3530806.857 Y   5328778.036 Z   593.419
        162         3_KN_FZ_535             X  3530807.177 Y   5328777.958 Z   593.413
        163         3_KN_FZ_536             X  3530807.094 Y   5328777.919 Z   593.431
        164         3_KN_FZ_558             X  3530807.054 Y   5328777.801 Z   593.440
        165         3_KN_FZ_538             X  3530806.853 Y   5328777.568 Z   593.435
        166         3_KN_FZ_540             X  3530807.208 Y   5328777.770 Z   593.416
        167         3_KN_FZ_541             X  3530807.260 Y   5328777.753 Z   593.422
        168         3_KN_FZ_542             X  3530807.317 Y   5328777.782 Z   593.421
        169         3_KN_FZ_543             X  3530807.369 Y   5328777.779 Z   593.423
        170         3_KN_FZ_544             X  3530807.427 Y   5328777.825 Z   593.426
        171         3_KN_FZ_545             X  3530807.423 Y   5328777.591 Z   593.428
        172         3_KN_FZ_559             X  3530807.287 Y   5328777.566 Z   593.433
        173         3_KN_FZ_556             X  3530807.334 Y   5328777.525 Z   593.426
        174         3_KN_FZ_547             X  3530807.143 Y   5328777.252 Z   593.434
        175         3_KN_FZ_551             X  3530807.423 Y   5328777.174 Z   593.445
        176         3_KN_FZ_550             X  3530807.550 Y   5328777.257 Z   593.442
        177         3_KN_FZ_548             X  3530807.572 Y   5328777.412 Z   593.431
        178         3_KN_FZ_549             X  3530807.710 Y   5328777.462 Z   593.443
        179         3_KN_FZ_552             X  3530807.751 Y   5328777.212 Z   593.427
        180         3_KN_FZ_553             X  3530807.805 Y   5328777.314 Z   593.432
        181         3_KN_FZ_554             X  3530807.856 Y   5328777.231 Z   593.454
        182         3_KN_FZ_555             X  3530807.944 Y   5328777.147 Z   593.459
        183         3_KN_FZ_562             X  3530807.686 Y   5328777.047 Z   593.449
        184         3_KN_FZ_560             X  3530807.668 Y   5328776.918 Z   593.447
        185         3_KN_FZ_561             X  3530807.495 Y   5328777.038 Z   593.441
        186         3_KE_FZ_546             X  3530807.206 Y   5328777.337 Z   593.429
        187         3_KE_FZ_547             X  3530806.767 Y   5328777.593 Z   593.438
        188         3_KE_FZ_539             X  3530806.657 Y   5328777.516 Z   593.463
        189         3_BR_FZ_532             X  3530807.894 Y   5328777.269 Z   593.457
